Feature set,Model,F1 mean,ROC-AUC mean,PR-AUC mean,Brier mean
All features,XGBoost,0.6643385113832455,0.9347094782416177,0.7542049747965988,0.06777975412896686
All features,LightGBM,0.6583158797495485,0.9351276441818495,0.7522532793635746,0.10292097541448411
All features,Gradient boosting,0.6610437017790628,0.9336305324033178,0.7507616628083031,0.06844914670630757
All features,Random forest,0.6877421623545787,0.9346274608027085,0.7507464640278962,0.07626118899093307
All features,Logistic regression,0.6135123060218917,0.9046055559407014,0.6485661700061381,0.1205733241663085
Without PageValues,Random forest,0.38016164366901,0.7817242000084981,0.37528529840584657,0.13013645774976762
Without PageValues,LightGBM,0.4132116516387912,0.7816093644123705,0.36679735718803824,0.19208209024862605
Without PageValues,XGBoost,0.07753381701357948,0.7788161870109424,0.36513770316875604,0.11351170268999707
Without PageValues,Gradient boosting,0.103400073803057,0.7770516100464933,0.35711501821772484,0.11415654449965915
Without PageValues,Logistic regression,0.3805409055592263,0.7454502964256722,0.3182343635494721,0.21058586754476222
