Seed,Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Brier
7,Logistic regression,0.8572587185725872,0.5269607843137255,0.7517482517482518,0.6195965417867435,0.9023254487757206,0.6335583275074166,0.11892976517674497
7,Random forest,0.8859151121924844,0.6102941176470589,0.7255244755244755,0.6629392971246006,0.9221974859167056,0.7069202037280641,0.08089628657558036
7,Gradient boosting,0.8967288456339552,0.6995798319327731,0.5821678321678322,0.6354961832061069,0.9199905067749647,0.7150600738854301,0.0740268844215141
7,XGBoost,0.8975398756420654,0.7040169133192389,0.5821678321678322,0.6373205741626794,0.9213739570311364,0.7146831199666754,0.07366100881242423
7,LightGBM,0.8529332251959989,0.5150214592274678,0.8391608391608392,0.6382978723404256,0.9230914592283317,0.7160017029010315,0.10631819709601714
17,Logistic regression,0.8429305217626385,0.4949944382647386,0.777972027972028,0.6050305914343984,0.900588937765145,0.6300412883547539,0.12621730180210497
17,Random forest,0.8905109489051095,0.6151724137931035,0.7797202797202797,0.6877409406322282,0.9325170352512854,0.7500818919282102,0.07942049054111261
17,Gradient boosting,0.9032170856988375,0.7123015873015873,0.6276223776223776,0.6672862453531598,0.9320803916262822,0.7450564385686782,0.06912227566567244
17,XGBoost,0.9048391457150581,0.7191235059760956,0.6311188811188811,0.6722532588454376,0.932891900232802,0.7393181211874598,0.0689038599522805
17,LightGBM,0.8540145985401459,0.5166666666666667,0.8671328671328671,0.6475195822454308,0.9336438665268214,0.7337250838584983,0.10830850740960682
27,Logistic regression,0.8429305217626385,0.49491525423728816,0.7657342657342657,0.6012354152367879,0.8987903685697097,0.6283522385625303,0.1253326413956471
27,Random forest,0.8929440389294404,0.6242937853107344,0.7727272727272727,0.690625,0.9318897444097316,0.7439427352105883,0.07940996537987609
27,Gradient boosting,0.902676399026764,0.7094861660079052,0.6276223776223776,0.6660482374768089,0.929662358747744,0.7432907395070114,0.07004317876792537
27,XGBoost,0.9042984590429846,0.7188755020080321,0.6258741258741258,0.6691588785046729,0.9291874179546069,0.749875829293781,0.06905778627263437
27,LightGBM,0.8534739118680724,0.5158898305084746,0.8513986013986014,0.6424802110817942,0.9299824336201055,0.746853020166646,0.110872067948014
37,Logistic regression,0.8510408218437415,0.5121107266435986,0.7762237762237763,0.6170952050034746,0.9089874787828097,0.6483655063060045,0.12256360553021953
37,Random forest,0.8948364422816978,0.6324167872648335,0.763986013986014,0.6920031670625495,0.9388715697478089,0.7651786966736609,0.07518123104041176
37,Gradient boosting,0.9056501757231684,0.728952772073922,0.6206293706293706,0.6704438149197356,0.938160696035656,0.7619154310543321,0.06705774013884648
37,XGBoost,0.9051094890510949,0.7268993839835729,0.6188811188811189,0.6685552407932012,0.9395676277671801,0.7667455521336288,0.06624730972373696
37,LightGBM,0.8629359286293593,0.535059331175836,0.8671328671328671,0.6617745163442295,0.9386985336377726,0.7654382798306538,0.10267524651628569
47,Logistic regression,0.8510408218437415,0.5124851367419738,0.7534965034965035,0.6100495399858458,0.9033016072510797,0.6493622969525085,0.12035009852392531
47,Random forest,0.8924033522573669,0.629080118694362,0.7412587412587412,0.680577849117175,0.9332248340083326,0.7518735011260401,0.07673581980853897
47,Gradient boosting,0.907272235739389,0.7483731019522777,0.6031468531468531,0.6679574056147144,0.9349633018085209,0.7554658763331245,0.06713896834168692
47,XGBoost,0.9088942957556096,0.7537796976241901,0.6101398601398601,0.6743961352657005,0.9359981639722605,0.7599774294458447,0.06681895133190886
47,LightGBM,0.8634766153014328,0.5364526659412405,0.8618881118881119,0.6613011401743796,0.9360040343410987,0.7570365968639733,0.10252079112537117
57,Logistic regression,0.8413084617464179,0.49138920780711826,0.7482517482517482,0.5932085932085932,0.8932677491999526,0.6348703159894026,0.12320275239594651
57,Random forest,0.8942957556096243,0.6385911179173047,0.7290209790209791,0.6808163265306122,0.9298026885171112,0.7329153474906037,0.07710490441312937
57,Gradient boosting,0.8986212489862125,0.7109207708779444,0.5804195804195804,0.6390760346487007,0.9281682101077688,0.7262818986065157,0.07121918105246365
57,XGBoost,0.8994322789943228,0.7192982456140351,0.5734265734265734,0.6381322957198443,0.9291751181341843,0.7306535382112788,0.07079265904463174
57,LightGBM,0.863206271965396,0.5365853658536586,0.8461538461538461,0.6567164179104478,0.9293489928683405,0.7310725387314861,0.103353053110286
67,Logistic regression,0.8540145985401459,0.5193236714975845,0.7517482517482518,0.6142857142857143,0.9139325656754502,0.670258171185811,0.11640192805844189
67,Random forest,0.8978102189781022,0.641399416909621,0.7692307692307693,0.699523052464229,0.9405700631316237,0.7606167925951349,0.07398302261088505
67,Gradient boosting,0.9075425790754258,0.7346938775510204,0.6293706293706294,0.6779661016949152,0.939484324437954,0.7688141472247605,0.06554353824940197
67,XGBoost,0.9099756690997567,0.7404426559356136,0.6433566433566433,0.6884939195509823,0.9406802024326809,0.7712689918511587,0.06497883856860608
67,LightGBM,0.8656393619897269,0.5410733844468785,0.8636363636363636,0.6653198653198653,0.941481647549764,0.7724066631459119,0.09998956424042107
77,Logistic regression,0.8556366585563666,0.522093023255814,0.784965034965035,0.6270949720670391,0.910443330254651,0.6655780575730135,0.11867792735303356
77,Random forest,0.895647472289808,0.6336206896551724,0.7709790209790209,0.695583596214511,0.9429607009555842,0.7792688422909977,0.07317299933458427
77,Gradient boosting,0.907272235739389,0.7322515212981744,0.6311188811188811,0.6779342723004694,0.9411084598164867,0.7738973469747151,0.06497059008702574
77,XGBoost,0.9094349824276832,0.7453416149068323,0.6293706293706294,0.6824644549763034,0.9428273597205481,0.7824775833653215,0.06402009962945966
77,LightGBM,0.8680724520140578,0.5459518599562363,0.8723776223776224,0.6716016150740243,0.9434599618481934,0.777465501169055,0.0994555612037319
87,Logistic regression,0.8653690186536902,0.548051948051948,0.7377622377622378,0.6289120715350224,0.9038556582528441,0.6668584071589048,0.11375875376032825
87,Random forest,0.9010543390105434,0.6677524429967426,0.7167832167832168,0.6913996627318718,0.9365072088129331,0.7581371577607188,0.07259746291801832
87,Gradient boosting,0.9078129224114626,0.7769784172661871,0.5664335664335665,0.6552072800808898,0.9372533047381144,0.7660016642459222,0.06721399234083746
87,XGBoost,0.9053798323871317,0.7630331753554502,0.5629370629370629,0.647887323943662,0.936322991047967,0.761462509485891,0.0672779615352575
87,LightGBM,0.8742903487429035,0.5619930475086906,0.8479020979020979,0.6759581881533101,0.9369715270338871,0.7617002706291527,0.09505574001667323
97,Logistic regression,0.8526628818599622,0.5157526254375729,0.7727272727272727,0.6186144156752974,0.9105624148796518,0.6584170904710365,0.12029846766669301
97,Random forest,0.8980805623141389,0.6457399103139013,0.7552447552447552,0.6962127316680097,0.9377332772759699,0.7585294714749434,0.07410970728719384
97,Gradient boosting,0.903757772370911,0.737885462555066,0.5856643356643356,0.6530214424951267,0.9354337699396861,0.751833011682542,0.06815511799770159
97,XGBoost,0.9067315490673155,0.7483588621444202,0.5979020979020979,0.6647230320699709,0.9390700441228104,0.7655870730249474,0.06603906641872875
97,LightGBM,0.8640173019735063,0.5376226826608506,0.8618881118881119,0.6621893888515782,0.9385939851641804,0.7608331363393374,0.10066102547843399
