Raw feature,Mean absolute SHAP,Normalized importance
PageValues,1.5974786,1.0
Month,0.87693256,0.54894793
ExitRates,0.2647902,0.1657551
VisitorType,0.10122404,0.06336488
Administrative_Duration,0.09834772,0.061564345
ProductRelated_Duration,0.08786299,0.055001043
BounceRates,0.0862203,0.053972743
ProductRelated,0.07292517,0.045650173
Administrative,0.06048851,0.03786499
TrafficType,0.05114303,0.032014847
Region,0.029427981,0.018421518
OperatingSystems,0.028880809,0.018078996
Browser,0.024177602,0.015134851
Informational_Duration,0.010669882,0.006679202
Informational,0.00871073,0.005452799
Weekend,0.0036268407,0.0022703533
SpecialDay,0.00276846,0.0017330184
